Time,Place,Rep 1,Rep 2,Rep 3
8-11am,Nest,1.69,2.4,1.7
11am-2pm,Nest,10.3,9.69,8.7
2pm-5pm,Nest,5.09,6.1,7.4
5pm-8pm,Nest,3.57,38.7,64
8pm-12am,Nest,7.3,9.2,87.8
8-11am,IKB,84.5,86.7,85
11am-2pm,IKB,93,81.5,95
2pm-5pm,IKB,91.4,93.7,92.7
5pm-8pm,IKB,96.9,95,94.1
8pm-12am,IKB,92,85,86
8-11am,Sauder,102.1,97.4,98.5
11am-2pm,Sauder,22.5,25.7,84.5
2pm-5pm,Sauder,66.4,102.9,135.3
5pm-8pm,Sauder,182.7,181.9,182
8pm-12am,Sauder,180,179.3,179.8
8-11am,Marine Drive,0,0,0
11am-2pm,Marine Drive,0,0,0
2pm-5pm,Marine Drive,0,0,0
5pm-8pm,Marine Drive,0,0,0
8pm-12am,Marine Drive,0,0,0